,assgNo,fixcount,firstPassCnt,P1stFixation,P2stFixation,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,nRegressFrom,regressLen,nextWordRegress,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,nWordsInTitle
7772,239,1,1,1,1,139,159,159,219,108.6105,0.0,139.7856,41.9315,37.4066,119,119.0,0,0,0,456,0.3861,0.3861,0.017,4
3805,122,1,1,1,0,278,119,119,159,67.2031,93.4345,85.7963,52.1536,55.0091,119,119.0,0,0,0,0,0.3958,-0.0077,0.0212,7
4934,150,1,1,1,0,119,239,239,139,606.132,99.3642,655.2778,56.1805,72.1543,239,239.0,0,0,0,596,0.1211,0.3681,0.0215,4
2541,78,3,2,1,1,219,219,378,199,114.2147,74.783,76.9025,45.3018,205.1298,319,106.3333,2,896,1,1654,0.948,0.8315,0.008,6
8412,264,1,1,1,1,119,179,179,179,539.4694,0.0,617.0073,81.6241,76.5914,358,358.0,1,278,0,716,0.4522,0.4522,0.0808,6
6002,178,2,1,1,1,358,139,139,139,133.291,399.2174,105.5462,53.5023,56.9759,218,109.0,2,1132,0,357,0.1006,0.0216,0.0162,5
9497,293,1,1,1,0,80,179,179,139,387.0827,96.3016,476.4284,101.115,80.5047,139,139.0,0,0,0,695,0.0661,0.1086,0.0097,4
409,12,1,1,1,0,139,119,119,119,208.0487,149.1208,32.5576,173.572,157.0796,119,119.0,0,0,0,0,0.2658,0.3083,0.0215,8
7172,219,1,1,1,0,199,179,179,219,570.0634,117.618,591.1024,22.4722,32.9848,179,179.0,0,0,0,179,0.0781,0.3306,0.0285,8
5581,166,1,1,1,0,99,119,119,80,477.9838,82.5303,318.2263,165.0651,165.1802,119,119.0,0,0,0,0,0.1365,0.275,0.0089,6
5686,168,1,1,1,0,99,119,119,99,313.9606,435.3323,259.3781,61.9112,79.6822,119,119.0,0,0,0,0,0.1435,0.327,0.0114,5
3521,108,2,2,0,1,99,80,239,99,66.6202,0.0,148.4924,88.0696,85.1308,239,119.5,1,99,1,239,0.3008,0.3008,0.0459,5
6828,204,1,1,0,1,119,139,139,139,117.1164,110.7079,84.0952,36.6742,45.7056,139,139.0,0,0,0,139,0.2954,0.4074,0.0288,4
4588,142,2,2,0,1,179,219,318,199,177.4965,824.8674,78.5175,97.9005,212.5376,318,159.0,0,0,0,0,0.2337,0.3452,0.0229,6
479,14,1,1,1,1,278,219,219,99,366.0123,0.0,403.1241,34.6446,53.4439,537,537.0,1,934,1,516,0.5623,0.5623,0.0633,5
2024,65,2,2,1,0,139,159,417,119,68.4726,304.1488,58.3095,20.1556,90.0125,417,208.5,0,0,0,0,0.0954,0.0969,0.0507,4
3479,107,1,1,1,1,199,219,219,159,23.0705,188.1203,107.8378,95.9284,96.9961,119,119.0,2,894,0,179,0.0883,0.4043,0.0358,6
5876,174,1,1,1,0,99,219,219,199,84.2882,159.6128,47.0106,36.5034,42.5265,219,219.0,0,0,1,418,0.0475,0.2875,0.022,6
1850,57,1,1,0,1,159,99,99,159,288.4441,157.5897,247.1295,38.513,49.3812,99,99.0,0,0,0,0,0.0723,0.0723,0.011,6
5520,165,1,1,1,0,139,179,179,199,282.0217,85.5015,233.3088,47.2705,70.2567,179,179.0,0,0,0,0,0.053,0.0445,0.0187,7
8569,271,1,1,1,1,179,159,159,99,134.0149,464.5455,70.7107,58.0517,57.0088,159,159.0,1,258,0,378,0.2727,0.3012,0.0282,6
5412,163,1,1,1,0,159,219,219,159,192.6662,220.5091,52.7731,139.5609,145.5077,159,159.0,2,756,0,159,0.0152,0.0162,0.0173,6
535,17,1,1,1,0,99,179,179,258,137.0912,574.8211,100.7174,31.8944,13.0384,179,179.0,0,0,0,0,0.1968,0.1968,0.0387,7
1954,61,1,1,1,0,179,219,219,179,221.0481,177.7301,133.3754,84.2882,71.1372,219,219.0,0,0,0,0,0.0169,0.1259,0.0176,5
8130,254,2,2,1,0,179,139,239,139,130.5038,731.7585,47.1275,83.4341,37.5932,239,119.5,0,0,0,0,0.2284,0.2284,0.0472,8
7269,222,2,1,0,1,80,199,199,219,140.0223,189.1038,81.6333,72.2375,82.2922,259,129.5,1,438,1,1293,0.2813,0.4498,0.0328,4
7749,239,1,1,1,0,199,179,179,159,325.0015,303.5642,271.0018,47.8774,66.6521,179,179.0,0,0,0,0,-0.0169,0.0946,0.0255,8
9456,293,1,1,0,1,119,80,80,179,226.1996,580.4655,156.7195,82.3787,75.6637,80,80.0,0,0,0,0,0.1271,0.2636,0.0056,7
7704,238,1,1,1,0,99,80,80,119,360.8715,375.3672,390.5855,29.3981,45.2134,80,80.0,1,199,1,0,0.2066,0.1206,0.0183,6
5919,176,1,1,1,0,139,179,179,199,50.7666,363.2509,86.0233,38.8104,44.601,179,179.0,0,0,1,179,0.0976,0.0751,0.0233,8
6393,189,1,1,1,0,159,80,80,99,157.0645,212.2127,99.7246,56.1471,62.6997,80,80.0,0,0,0,0,0.1575,0.015,0.0145,7
9985,306,2,2,1,0,139,179,378,139,132.4434,154.6165,127.0118,14.2215,89.1403,398,199.0,4,35448,0,2683,0.4915,0.4105,0.0266,7
3731,118,1,1,1,0,199,238,238,119,82.0686,107.3709,89.8944,14.1598,13.6473,238,238.0,0,0,0,0,0.3093,0.3768,0.074,5
189,5,1,1,1,0,259,258,258,119,130.0471,235.6061,188.7326,57.0088,53.5374,99,99.0,1,775,1,715,0.002,0.225,0.0088,4
2982,91,1,1,1,1,199,239,239,299,1214.4073,156.1802,148.0304,33.9485,42.6058,239,239.0,0,0,1,319,-0.1024,0.0116,0.0213,5
7550,230,1,2,1,1,0,99,238,159,574.0601,0.0,563.6178,20.6155,23.0868,278,278.0,0,0,1,358,0.5327,0.5327,0.0551,7
10732,330,1,1,1,0,99,219,219,259,284.029,125.5747,334.5983,46.3276,48.5412,219,219.0,0,0,0,0,0.399,0.308,0.0463,3
4173,133,1,1,1,0,159,99,99,119,87.122,72.5017,22.561,67.7532,51.0025,99,99.0,0,0,0,0,0.0015,0.2085,0.0071,6
10599,324,2,2,1,0,119,119,199,99,203.0154,116.8471,105.3803,107.0806,74.1384,199,99.5,0,0,0,0,0.4182,0.4452,0.0346,5
4702,145,1,1,1,0,119,258,258,179,178.4384,129.9279,151.2118,32.0351,25.2389,258,258.0,0,0,0,278,-0.1218,0.0452,0.0311,8
6371,188,1,1,1,1,100,99,99,179,234.2584,127.0482,253.0494,18.8481,16.4012,99,99.0,0,0,0,99,0.1525,0.0945,0.0236,7
9537,294,1,1,1,0,179,119,119,99,272.3279,235.5021,304.5866,35.2278,47.0558,119,119.0,0,0,0,0,0.2606,0.6081,0.02,6
6202,183,1,1,1,0,259,238,238,139,272.4133,242.0976,246.002,31.1207,37.9111,238,238.0,1,417,0,139,0.1896,0.1766,0.0229,5
6197,183,1,1,1,0,179,179,179,139,301.5933,128.0625,267.3668,35.0464,38.3471,179,179.0,0,0,0,0,0.1806,0.1946,0.0172,7
7883,243,1,1,0,1,139,278,278,219,177.7674,230.5087,252.5728,82.3787,96.9807,99,99.0,0,0,1,99,0.0808,0.2418,0.0226,7
10530,321,1,1,1,0,99,99,99,99,198.2524,671.6057,46.6154,181.4635,180.783,80,80.0,0,0,1,80,-0.0428,0.0417,0.008,5
9346,290,1,1,1,1,139,219,219,119,231.738,154.0008,159.6152,80.2325,80.089,139,139.0,0,0,0,1352,0.0837,0.0852,0.0202,7
8990,283,1,1,0,1,219,199,199,199,684.5928,221.5023,831.9117,140.8022,127.2331,199,199.0,0,0,0,0,0.0927,0.1462,0.028,4
3460,106,1,1,1,0,258,119,119,159,102.0196,293.8388,194.8794,97.5,83.0015,80,80.0,0,0,1,378,0.5288,0.3328,0.022,4
5689,168,1,1,1,0,219,199,199,100,198.2738,757.8709,170.1793,31.4006,14.9833,199,199.0,0,0,0,0,0.279,0.086,0.0191,6
314,9,1,1,0,1,179,258,258,139,171.5117,140.0143,69.6348,116.2755,113.7453,258,258.0,0,0,0,1746,0.1059,0.0924,0.0331,8
1700,52,1,1,0,0,199,99,99,99,409.2007,315.9343,329.9712,83.8824,90.2358,99,99.0,0,0,0,99,0.0426,0.1356,0.0087,7
539,17,1,1,0,1,159,139,139,239,244.2396,210.7143,148.3678,102.1494,90.1679,139,139.0,0,0,0,0,0.1968,0.2083,0.03,7
3448,106,1,1,0,1,99,80,80,99,348.5359,316.942,136.3085,218.4777,206.1274,80,80.0,0,0,1,0,0.5533,0.5288,0.022,2
8600,273,2,2,1,1,159,239,477,179,318.202,164.351,342.7083,27.5545,126.5356,477,238.5,1,318,0,0,0.2002,0.1797,0.0802,7
6967,211,1,1,1,0,80,139,139,139,168.5067,191.5731,182.439,39.3859,50.7666,139,139.0,0,0,1,0,0.1118,0.1118,0.0714,5
5136,155,1,1,0,1,219,119,119,199,149.6103,1453.2072,189.4518,54.1225,47.5395,100,100.0,0,0,1,100,0.1538,0.3358,0.009,7
3903,125,1,1,1,1,139,139,139,199,23.4361,120.8356,92.2822,68.7095,72.5431,179,179.0,1,378,0,318,0.1223,0.1753,0.0281,4
10609,325,1,1,1,0,199,179,179,139,148.7086,90.1998,127.0157,26.7255,27.6586,179,179.0,0,0,0,0,0.0712,0.4577,0.0653,4
5401,163,1,1,1,0,139,159,159,159,356.6546,140.1749,269.1189,90.1388,90.0028,159,159.0,0,0,0,0,0.1392,0.1392,0.0173,9
9148,287,1,1,1,0,179,80,80,258,95.2694,88.6143,102.6109,14.9833,2.9155,80,80.0,1,437,0,0,0.1542,0.1812,0.0082,7
5592,166,2,4,1,1,139,199,915,199,178.5175,102.0943,264.282,89.0351,47.0027,278,139.0,0,0,0,556,0.162,0.162,0.0208,4
5682,168,1,1,1,0,219,159,159,139,127.6656,84.5946,78.848,68.3465,79.1596,159,159.0,0,0,0,0,0.098,0.327,0.0153,6
10422,318,2,1,1,0,139,179,179,80,357.6262,62.8351,482.2956,136.6821,114.0186,219,109.5,1,894,0,179,0.1782,0.2812,0.0467,6
4144,133,2,2,1,0,179,80,179,139,101.0371,114.2639,41.4367,70.1463,65.6201,179,89.5,0,0,0,179,0.1385,0.0945,0.0128,7
2787,85,1,1,1,0,239,279,279,438,283.9036,144.105,334.0733,50.5594,100.7137,279,279.0,0,0,0,0,-0.0108,0.4217,0.0253,4
7364,225,1,1,1,0,139,219,219,139,300.72,221.5457,308.1315,11.0114,17.088,278,278.0,0,0,0,278,0.0233,0.4033,0.0277,6
8894,280,1,1,1,1,159,278,278,139,165.0189,139.0,103.8171,66.9104,41.3552,199,199.0,0,0,1,199,0.1942,1.0012,0.0253,6
5645,167,1,1,1,0,80,298,298,139,33.8711,121.064,37.3631,12.5399,12.1655,298,298.0,0,0,1,894,0.1955,0.13,0.02,5
96,3,1,1,1,0,80,258,258,99,218.0166,219.5091,256.0879,76.8651,78.6289,258,258.0,0,0,0,0,0.1665,0.1665,0.0455,5
6281,185,1,1,1,1,179,219,219,80,131.0467,457.7775,78.5493,69.0797,81.2665,219,219.0,1,179,0,0,0.0385,0.404,0.0324,6
9878,304,1,1,1,1,139,139,139,139,198.0511,246.5325,198.0,6.4031,17.6918,139,139.0,1,139,1,1666,0.425,0.211,0.0112,6
4788,148,2,2,0,1,239,298,477,298,213.837,260.44,139.0432,70.8978,159.0197,477,238.5,2,14971,0,0,0.2221,0.3586,0.0272,7
8956,282,1,1,1,1,99,139,139,159,83.0692,187.6926,149.9667,87.7055,70.5018,139,139.0,0,0,1,2442,0.0762,0.1167,0.02,8
4757,146,1,2,1,1,139,159,298,239,545.6934,0.0,604.5172,59.0191,68.0312,577,577.0,0,0,0,577,0.3391,0.3391,0.0658,6
353,11,1,1,1,1,80,139,139,159,314.331,140.2257,329.3706,17.9025,22.6385,139,139.0,1,9785,0,219,0.1169,0.0829,0.0128,3
2227,71,1,1,1,0,299,578,578,159,62.6997,62.4039,58.1378,80.7217,89.202,578,578.0,0,0,0,0,2.2779,1.4619,0.0856,4
8720,277,1,1,1,0,0,179,179,159,0.0,262.7936,0.0,71.8766,59.854,179,179.0,0,0,0,0,-0.0142,0.1478,0.019,7
3461,106,2,2,1,0,119,159,278,80,293.8388,189.8486,184.1738,111.6356,113.5077,238,119.0,0,0,1,238,0.3328,0.2153,0.0654,4
3002,91,1,1,1,1,179,219,219,140,445.6865,74.0017,452.482,21.36,25.318,159,159.0,1,857,0,0,1.6806,2.5831,0.0142,9
4062,130,1,1,0,1,139,179,179,338,196.5057,824.4387,91.214,111.809,90.6104,179,179.0,1,1153,0,179,0.1741,0.4321,0.0165,7
4673,144,1,1,1,0,119,100,100,179,135.6401,158.2561,36.0139,93.2537,87.0201,139,139.0,0,0,1,139,0.0797,0.1227,0.0152,6
10262,312,2,2,1,0,219,119,199,80,125.081,295.2601,89.4427,46.9068,41.3673,199,99.5,0,0,0,0,0.2118,0.2508,0.0288,4
883,27,1,1,1,0,80,239,239,338,300.0104,112.5278,340.9692,67.5019,79.7653,239,239.0,0,0,0,0,0.1469,0.1054,0.0557,3
4546,141,3,3,1,0,119,258,536,199,139.6012,425.2064,77.026,65.4714,103.5205,536,178.6667,0,0,0,0,0.1637,0.2532,0.2725,4
3905,125,2,2,1,0,159,99,198,139,209.1531,671.4239,120.2206,80.9089,89.5391,198,99.0,1,1153,0,198,0.1563,0.1753,0.031,8
10363,316,1,1,1,1,199,258,258,80,484.3537,488.5194,567.9692,98.6978,97.5103,258,258.0,0,0,0,0,0.1338,0.3988,0.0479,7
8841,279,1,1,1,0,139,139,139,80,229.2477,345.3259,156.0801,69.7209,58.228,139,139.0,0,0,0,0,0.0193,0.0958,0.0173,7
503,15,1,1,0,1,199,179,179,159,125.5159,101.357,52.8015,77.1038,65.6544,179,179.0,0,0,0,0,0.0608,0.1853,0.019,4
5234,158,1,1,1,1,179,159,159,119,124.2578,841.5149,412.0449,545.5428,547.0267,139,139.0,3,4573,0,358,0.0988,0.1878,0.0247,4
5794,171,1,1,1,0,179,100,100,99,56.8177,618.2952,26.6271,31.0644,38.2394,100,100.0,1,99,0,0,0.132,-0.021,0.0101,7
6303,185,1,1,0,1,139,139,139,119,577.1449,88.7426,655.5151,76.6551,78.578,80,80.0,1,219,1,0,0.1625,0.1335,0.0118,4
7417,226,2,1,1,1,119,119,119,139,191.5131,121.1249,74.4312,159.249,64.1327,437,218.5,0,0,1,556,0.0613,0.6053,0.0534,4
5652,168,1,1,1,1,179,358,358,219,208.0727,223.5089,194.4865,26.0048,52.6047,358,358.0,1,179,1,537,0.146,0.2555,0.0344,7
5414,163,1,1,0,1,219,159,159,219,451.6949,55.6597,477.7656,21.9659,14.3003,159,159.0,1,219,0,99,0.0152,0.0267,0.0173,6
1738,54,1,1,1,0,239,80,80,139,88.8623,132.0947,103.5857,57.0811,56.3494,80,80.0,0,0,0,0,0.2544,0.3933,0.0132,7
3652,114,1,1,1,0,99,80,80,139,148.2161,919.2346,60.0167,95.4385,90.9464,80,80.0,0,0,0,0,1.0085,0.29,0.025,7
8881,280,2,2,1,1,278,139,397,139,205.8501,89.6396,63.0079,143.7228,61.3209,397,198.5,1,2525,1,636,0.2297,0.0982,0.0504,6
7672,236,1,1,1,1,258,278,278,159,209.3735,103.646,17.2047,199.332,216.7793,199,199.0,1,239,0,437,0.1801,0.2906,0.0199,7
7369,225,2,2,1,0,259,99,437,199,200.09,312.7915,107.1681,106.0754,98.5013,437,218.5,2,2963,0,80,0.4033,0.4683,0.0436,7
9520,293,1,1,1,1,99,100,100,80,434.0233,171.2921,532.2114,94.6322,87.0704,119,119.0,0,0,0,1311,0.2226,0.1956,0.0083,5
8893,280,1,1,0,1,219,139,139,199,791.207,165.0189,789.6088,55.2268,60.5248,139,139.0,0,0,0,139,0.1942,1.0012,0.0177,6
5437,163,1,1,1,1,80,99,99,80,156.5128,0.0,189.0952,26.3486,26.6177,119,119.0,0,0,0,0,0.3442,0.3442,0.013,7
7151,219,1,1,1,0,99,139,139,259,330.4334,278.8301,330.1636,12.1758,10.6066,139,139.0,0,0,0,0,0.0776,0.1586,0.0221,7
2737,83,1,1,1,1,359,259,259,199,88.9508,113.1923,108.462,56.6127,101.5406,259,259.0,0,0,0,379,0.3645,1.16,0.0259,4
10250,312,2,2,1,0,80,139,238,298,102.7387,286.8122,86.977,23.9008,57.1074,238,119.0,0,0,0,0,0.2333,0.1408,0.0344,4
6055,179,1,1,1,0,238,199,199,258,107.0946,118.0519,79.1581,33.5336,33.1361,199,199.0,0,0,0,0,-0.0124,0.1016,0.0213,5
927,28,1,1,0,1,298,159,159,298,217.1555,264.017,217.9036,7.433,28.7446,159,159.0,0,0,1,159,0.0039,0.0954,0.017,7
9115,286,1,1,1,0,99,80,80,80,200.5898,766.2997,93.3435,106.0578,110.3279,159,159.0,1,358,0,159,0.0837,0.2052,0.0176,6
4613,143,1,1,1,0,99,199,199,179,469.3149,117.7763,507.7765,55.4617,50.4505,199,199.0,0,0,0,0,0.2667,0.2777,0.0231,8
4175,133,1,1,1,0,119,99,99,99,104.561,115.8123,50.0,55.7315,65.0077,99,99.0,0,0,0,0,0.108,0.2085,0.0071,6
5464,164,1,1,1,1,139,179,179,219,176.1022,58.758,83.0241,87.3227,95.5118,179,179.0,1,1014,1,577,0.0487,0.1437,0.0152,5
1977,61,2,2,1,0,219,199,298,80,111.2205,213.851,41.4367,81.2604,92.4027,179,89.5,1,8427,0,497,0.1289,0.3309,0.0144,7
1286,41,1,1,1,1,199,159,159,80,98.8433,128.8303,116.6062,46.9707,58.2409,199,199.0,1,2624,0,796,0.2242,0.3377,0.0212,8
7860,242,1,1,1,0,80,159,159,159,70.2602,120.4004,74.3303,21.6333,20.573,159,159.0,0,0,0,0,0.0563,0.2213,0.0362,3
5574,166,1,1,1,0,179,258,258,239,245.0862,123.2284,247.655,25.6223,32.7452,258,258.0,0,0,0,0,0.1655,0.269,0.0193,5
8915,281,2,1,1,1,139,139,139,199,539.0083,173.0874,578.4185,49.135,59.203,239,119.5,0,0,1,477,0.0672,0.0462,0.0284,6
4671,144,1,1,1,0,119,119,119,100,185.5586,128.535,171.6566,13.3135,13.1244,119,119.0,0,0,0,119,0.0737,0.0952,0.013,6
2085,66,1,1,0,0,119,139,139,159,129.0155,874.0631,28.1603,95.0053,97.0271,139,139.0,1,4395,1,0,0.1554,0.1859,0.0139,8
7130,217,1,1,1,1,99,139,139,179,101.6366,106.0189,60.8769,61.9536,65.0173,139,139.0,0,0,0,0,0.1456,0.2196,0.0362,7
4517,139,1,1,1,0,219,139,139,258,175.5883,153.5985,142.2252,59.7013,40.0281,139,139.0,0,0,0,278,0.2292,0.4932,0.0362,7
7163,219,1,1,1,0,238,80,80,179,487.0657,479.3071,448.135,37.3162,54.6717,80,80.0,0,0,0,0,0.0886,0.0781,0.0127,8
10926,336,1,1,1,0,179,80,80,219,1445.4747,718.3572,23.4094,95.5196,93.9747,80,80.0,0,0,0,0,0.2675,0.473,0.0068,8
1881,58,1,1,1,0,159,100,100,159,151.0406,471.365,61.0737,89.0225,87.1163,100,100.0,0,0,0,100,0.1419,0.2173,0.0152,7
3477,107,2,2,0,1,219,159,258,159,41.8151,202.5056,83.6301,91.2812,92.1588,258,129.0,1,159,0,0,0.1298,0.4043,0.0777,6
10416,318,1,1,1,0,119,179,179,179,159.0951,444.0704,107.0794,55.9464,62.0181,179,179.0,1,398,1,0,0.1727,0.1782,0.0382,6
19,1,1,1,1,1,298,179,179,318,314.0334,145.8124,397.5487,67.3146,94.5,219,219.0,0,0,0,0,0.1975,0.186,0.0286,5
10241,311,2,2,1,0,159,199,298,99,240.0083,243.4938,151.3308,100.08,28.5044,298,149.0,0,0,0,0,0.1822,0.2242,0.0374,5
10085,308,1,1,1,0,219,139,139,179,549.2163,50.1124,571.1812,37.3162,40.2492,139,139.0,1,179,0,0,-0.0043,0.0122,0.0149,6
