,label
7237,2
10877,2
4797,1
8196,1
8472,0
3187,2
8706,1
2679,0
10426,0
8322,0
9402,1
10308,0
2205,2
9141,0
5962,0
9096,0
3330,1
6953,2
7208,2
9751,0
5673,0
5706,0
6263,1
632,0
3416,2
753,1
3419,0
9331,0
1819,0
1936,0
6317,2
7139,0
5970,0
6447,1
8413,1
6639,1
8961,2
1604,0
1120,2
9387,0
6368,2
1417,0
7206,1
8459,2
4345,2
10866,1
950,1
4719,0
2548,1
5027,1
6013,0
4235,1
10539,0
10829,2
1777,1
159,1
2967,1
5795,1
6501,0
116,1
1796,2
10390,1
698,2
1254,2
7929,2
5441,0
7065,1
2847,1
8914,2
4152,1
5856,1
8734,0
7534,2
4937,2
1888,0
10356,0
5967,2
8719,2
344,2
1572,0
9539,0
8735,1
1587,1
6504,0
10737,0
7094,2
3561,1
10102,0
6544,2
2063,0
8164,0
5533,0
1516,0
2919,1
4065,1
4454,2
6846,2
4096,0
4685,1
2594,1
1778,1
8293,2
5731,1
6395,2
10432,2
266,1
7213,0
2017,2
6044,1
2312,1
1895,1
1861,0
3420,1
7784,0
2052,0
4134,2
8218,1
10337,0
2896,1
6788,1
9228,1
4068,2
6163,2
1681,1
7181,2
7231,0
6671,1
8815,0
9972,1
7515,1
1999,2
4748,0
4762,1
1603,1
6157,1
1832,1
9954,1
4238,0
7934,0
7275,1
2933,1
9557,2
7839,1
4253,0
8044,1
3188,2
4725,1
10003,1
7288,1
756,2
279,2
8637,1
10538,0
4700,2
5233,0
9783,1
729,0
4086,1
4743,0
6771,1
1080,2
7601,0
8380,1
6624,0
15,0
9769,1
8773,0
4667,2
4898,2
6841,0
7042,2
9815,0
6866,2
8485,2
3196,1
5072,0
719,1
1424,2
70,0
955,2
8140,0
8693,2
7963,2
3891,1
5772,1
3998,1
3919,2
8918,0
1815,1
6646,2
3831,1
3047,2
1770,1
891,0
6373,1
5671,0
2931,1
281,0
10505,2
8050,1
9844,2
3086,2
8526,1
6981,0
2336,0
3811,2
1458,1
3893,1
8435,1
8332,0
2939,0
2774,0
6456,0
3877,2
10221,1
6480,2
6831,2
3440,1
3553,0
10805,1
8579,1
8882,1
5217,2
4306,1
5411,1
9473,2
437,1
334,0
1376,0
1605,0
1282,1
10695,2
1910,1
7522,0
9380,0
2932,1
9609,2
5666,0
8004,0
2473,1
841,2
590,2
3859,1
4488,2
7427,1
1735,1
5403,1
7887,0
343,2
10367,1
3623,2
620,2
1310,2
2327,1
627,0
2431,1
5632,1
10448,1
2018,2
10358,0
6652,2
5186,0
6775,0
2863,1
1855,1
6767,1
8335,0
10113,0
7406,1
962,0
9865,0
4277,0
1755,2
8024,2
4586,1
2325,0
10746,0
9069,1
6918,0
6258,1
8265,0
6193,0
10605,1
2277,0
7570,0
1686,0
9427,2
9877,2
1651,1
8799,1
5818,2
10359,0
8382,1
5878,2
2073,0
3494,1
8708,1
5011,0
8981,1
3896,0
4664,2
2065,0
2626,0
43,2
3622,2
9048,1
7298,0
8759,2
2154,2
2186,1
8471,0
4492,2
5943,0
9197,0
5899,0
4668,2
5553,0
705,1
1474,0
9132,2
8480,0
2259,2
5423,0
9509,1
4047,1
1369,0
4853,2
4541,2
7521,1
309,0
1054,1
10268,0
8848,0
1831,1
7972,0
7754,1
3265,1
8052,1
5747,2
3143,0
9348,1
8477,0
3884,2
6512,0
10889,1
6241,2
2693,1
10111,0
4433,0
204,2
4900,0
1188,1
4571,0
8794,1
9118,1
10873,2
10169,1
10907,0
10822,1
2287,0
10642,2
4697,1
4224,1
7916,2
3988,0
6644,1
7637,2
5830,1
7724,0
7021,0
3983,1
9150,1
141,2
6469,1
6727,0
444,2
1326,0
3562,1
3098,0
8324,2
8463,0
10242,0
10585,1
10091,1
10405,2
10760,2
2712,1
9265,0
2232,1
1448,1
5435,2
7426,0
7759,0
6664,1
2844,1
8658,1
2961,1
4149,1
8097,2
2735,1
8937,2
2841,1
3610,0
9429,2
2480,2
4635,2
6903,2
7617,1
7737,2
1413,0
2572,2
1281,0
1334,0
6976,0
2553,1
425,0
9312,0
330,1
6573,2
6678,2
6523,1
2803,2
10784,0
1503,1
949,2
805,1
2216,0
4784,2
5513,0
2609,0
232,2
929,2
1997,2
9468,2
2680,0
5921,0
7063,1
5291,1
1050,2
7771,2
7085,0
9200,1
5633,1
8094,2
2119,2
6840,2
5588,1
6681,2
2453,0
4952,1
195,0
2041,0
8871,1
5526,0
10638,0
10575,0
2373,0
4310,1
1260,1
9270,0
5872,0
115,1
8009,2
10545,1
2991,1
8127,0
4129,2
3449,0
2561,0
8521,0
10568,1
9232,1
4004,1
2415,0
6669,1
7083,1
5375,0
9874,2
6819,1
3434,2
3906,0
9887,0
3872,0
494,1
9458,0
2353,0
8844,0
5653,2
5139,0
6134,1
8468,1
3851,1
7226,1
277,0
10500,0
10776,0
4046,1
263,1
9514,1
5811,0
4434,0
9216,0
2443,0
10209,1
7104,1
5512,0
9094,0
8726,1
1940,2
440,0
7803,0
6141,1
536,0
933,2
10017,1
2951,2
10525,1
1104,1
1039,0
4526,0
3355,1
8326,2
1461,0
2094,0
10401,1
2375,1
1330,0
2920,1
3104,1
2086,1
617,1
1893,1
2118,2
3921,2
1661,0
9195,0
611,1
9104,2
8668,0
10045,0
8847,0
3967,0
6776,0
7649,0
9484,1
853,2
10876,2
5559,2
7805,1
4392,0
6599,2
9826,1
3748,0
1365,2
4807,1
7222,2
7539,0
9955,0
4627,2
3353,1
7688,2
4993,1
2761,0
1718,0
5031,1
3600,0
4549,0
10661,1
9188,2
7508,0
8572,2
5118,1
7080,1
655,0
7111,1
951,2
10046,0
3976,2
6248,0
5126,0
3374,2
10727,2
7143,2
9812,2
1614,1
6595,1
9033,0
3858,1
2,0
27,1
3319,1
1621,1
8810,2
9903,1
965,1
5911,1
1813,1
3161,2
6239,2
10922,0
8244,2
9262,1
847,1
5923,0
3639,1
10047,0
800,1
2345,2
2266,0
4424,1
5149,2
1019,0
4919,0
7822,1
9967,0
6631,0
5678,1
4148,1
113,0
2331,1
10687,0
8214,1
5320,1
7318,0
4754,2
10131,1
875,1
10826,2
9681,2
3580,1
2775,0
10166,0
5474,1
1370,0
7623,1
5278,2
920,0
33,0
4578,1
8971,1
9107,2
2281,0
6862,1
45,2
3085,2
3721,2
5165,2
785,2
8021,1
4464,2
10887,1
1929,0
9129,1
4324,2
8901,1
987,0
10792,2
7468,1
8855,2
6077,0
3828,2
10249,2
9522,2
8627,2
6617,1
8333,0
4965,1
9566,0
10152,1
5428,1
4850,2
2668,0
1918,2
8492,0
5982,2
312,0
3008,1
2012,2
10908,0
1086,0
646,0
7882,2
5590,1
9531,0
4397,0
10536,0
2638,1
10332,0
4713,2
9242,0
5600,1
6221,1
10726,2
824,1
5978,2
9970,0
3023,0
2220,0
8582,0
6283,0
5069,0
2598,1
3320,0
5045,2
6691,0
5120,1
4212,0
1065,0
6505,0
5281,1
2866,2
7014,1
6730,2
8402,2
4803,0
4731,1
5850,0
322,0
1316,2
1939,0
1312,2
8461,2
8104,1
10621,1
9310,1
4353,1
8632,0
825,0
34,0
9786,2
1558,1
6068,2
10579,0
3300,0
10215,0
1078,2
7769,2
3046,2
6738,0
6473,1
1009,1
4083,0
6603,2
1988,2
3842,0
9975,1
5489,1
4401,0
1652,2
1026,1
4445,1
4210,0
9934,2
9227,1
126,1
5148,0
9584,2
10336,1
8237,1
10629,2
4244,0
56,1
1962,1
5668,1
10253,1
8904,0
1147,2
6719,2
3570,1
9071,0
5238,2
6211,0
456,1
4543,2
1914,0
3015,1
7577,1
8988,0
3366,0
7384,0
686,1
8086,0
1712,0
4226,1
3508,0
86,2
178,1
6364,0
6591,0
3985,1
1416,0
5108,2
2545,1
6692,0
7651,1
2823,1
10041,0
751,1
1280,0
10457,0
6789,1
5279,2
8641,1
4949,0
2468,0
5164,2
6116,0
1403,1
123,1
9653,1
4968,2
5021,1
4542,0
2299,0
2522,1
9811,2
7645,0
8576,1
5438,0
4007,1
9966,0
1828,1
6097,0
7149,0
1670,1
2597,1
6516,1
9608,2
3055,2
810,1
10484,0
3173,1
223,2
9664,0
10254,0
9271,0
5003,1
10769,1
8488,2
8669,0
9397,2
10844,1
5145,0
10858,2
5286,1
8771,0
2855,1
9431,0
852,1
5750,2
4858,2
4622,0
7976,0
256,1
2549,1
9987,2
10804,1
7679,2
5168,2
10781,1
254,0
2025,0
7434,0
4022,2
2850,2
9821,0
9875,2
4628,2
7797,0
13,0
8030,0
3518,0
9507,1
7103,1
4011,0
8114,1
1622,1
5308,2
5877,2
10831,2
5436,2
1453,1
5829,1
2662,2
3963,0
6247,0
6850,1
8134,2
1874,0
5587,1
4589,2
234,2
5550,0
1800,2
9021,0
4527,0
4883,1
8723,0
7186,2
431,2
8605,0
10564,2
4584,1
9674,2
1747,2
10622,1
5801,2
2002,1
8250,0
2122,0
7090,0
8376,1
4815,0
7478,2
4733,1
2048,1
10905,1
5101,2
1392,2
2880,0
4503,0
2672,1
1132,1
8923,0
3729,1
3077,1
8786,0
9758,2
3653,0
3856,1
10298,0
1748,2
2251,1
10266,0
1518,2
7567,1
8275,0
1780,1
8834,2
10903,0
6119,0
2408,1
5839,2
4750,2
839,2
10528,0
399,1
6654,0
48,1
10036,2
7977,1
228,2
6261,1
6618,1
6275,2
3140,0
2985,1
1013,0
452,1
5268,2
3357,0
3245,2
1941,0
7669,1
5692,0
6427,0
6503,0
4018,2
6749,2
6366,0
8340,1
7842,1
10913,1
1528,0
9593,1
585,2
9092,0
10406,2
6285,0
7804,0
1364,2
124,1
7712,2
5098,0
25,1
7753,1
3845,0
5768,0
5112,1
7313,1
1785,0
9686,1
3106,1
795,1
7886,0
6177,0
5377,0
5356,0
4521,1
6458,1
7560,2
5254,0
2633,1
998,2
1791,2
7474,2
9480,2
2132,1
7162,1
8101,1
5639,0
8905,0
6662,0
1205,2
4317,0
7442,1
9332,1
2587,1
10675,1
1667,1
7917,1
1624,2
1235,0
4053,1
10470,2
7625,1
7994,2
4755,2
3381,1
9628,2
3108,1
7629,0
985,1
4869,1
7595,2
7292,0
4271,0
3818,1
552,1
6632,1
6344,0
8176,1
9019,2
4641,1
7502,2
3121,1
5427,1
10323,1
6293,0
7346,0
9559,1
1105,1
8464,0
9924,0
762,1
392,1
972,0
5583,0
764,1
7356,0
5537,1
